run,arch_type,num_registers,use_cnn_stem,head_type,swa,data_mode,dim,depth,params,epochs,best_epoch,best_val_cer,best_val_wer,best_test_cer,best_test_wer,last_val_cer,last_val_wer,last_test_cer,last_test_wer
run_181,vit_rgts,4,True,both,True,iam,256,6,9477728,150,137,0.039939991638179094,0.13942628418945963,0.05914340080706013,0.1941866707569599,0.05597501291163523,0.1989103847009117,0.07536662182999246,0.24702814633024006
run_184,vit_rgts,4,True,both,False,iam,256,6,9489266,150,144,0.05207579921886301,0.22841998990408885,0.048173874075733814,0.20928604759682687,0.05337769419933459,0.23170116102978294,0.047949809545149005,0.20881941203919738
run_186,vit_rgts,4,True,both,True,iam,256,6,9477728,150,115,0.04089914168367723,0.1439848788080943,0.05921721728289754,0.19253777130148017,0.6838002016674455,0.9618634645319102,0.6520373347331124,0.9506097093335378
run_188,vit_rgts,4,True,both,True,iam,256,6,9477728,150,147,0.039939991638179094,0.14020458083166557,0.058101768314687836,0.19058209985428332,0.040653205774575145,0.14242828552368245,0.058675896460089895,0.1912723368356469
run_195,vit_rgts,4,True,both,False,synthetic,256,6,9472600,10,2,0.008350955197006408,0.027266761653489867,0.316008333059939,0.6473655955211289,0.7816517856293147,1.0518367365284265,0.8021882484170467,1.0649206227471433
run_197,vit_rgts,4,True,both,True,synthetic,256,6,9472600,10,2,0.008252932588995962,0.027599365356178115,0.3141957284865982,0.653501035355472,0.7816517856293147,1.0518367365284265,0.8021882484170467,1.0649206227471433
run_108,vit_rgts,8,True,both,True,iam,256,6,9479776,80,64,0.042915816138314355,0.14987769624193906,0.06178439027590958,0.20028376409233836,0.0813310051400605,0.2692906382032466,0.10123519569567928,0.3150164889945548
run_123,vit_rgts,8,True,both,False,iam,256,6,9479776,80,80,0.04082536091094661,0.14242828552368245,0.05921721728289754,0.1937648592683488,0.04082536091094661,0.14242828552368245,0.05921721728289754,0.1937648592683488
run_151,vit_rgts,8,True,both,False,iam,256,6,9479776,150,129,0.039989178819999506,0.14042695130086724,0.059422263049112564,0.19318966178387914,0.04075158013821598,0.1437625083388926,0.059085987992519934,0.19284454329319733
run_156,vit_rgts,8,True,both,True,iam,256,6,9479776,150,115,0.04185829172917538,0.14587502779630865,0.059594501492733175,0.1950686402331467,0.09215218514055237,0.30542583944852125,0.10618910140743414,0.3316205230462459
run_187,vit_rgts,8,True,both,False,iam,256,6,9491314,150,144,0.051931144221032836,0.22236244321049975,0.047456867577862424,0.20648623425104992,0.052316890881913304,0.223876829883897,0.047546493390096346,0.20648623425104992
run_198,vit_rgts,8,True,both,False,synthetic,256,6,9474648,10,3,0.008160144197918114,0.026988093686372686,0.30623995275745547,0.6347879438607256,0.7936714510581683,1.0069891724010842,0.8107591614448345,1.0084362297722218
run_200,vit_rgts,8,True,both,True,synthetic,256,6,9474648,11,3,0.008130642247934387,0.026983599041741763,0.3104392900495391,0.6519288288979216,0.7726598767770166,1.0202820838970368,0.7933958859617467,1.0257688473042412
run_122,vit_rgts,16,True,both,False,iam,256,6,9483872,80,80,0.0419074789109958,0.14743162108072047,0.06078376693678029,0.19897998312754045,0.0419074789109958,0.14743162108072047,0.06078376693678029,0.19897998312754045
run_124,vit_rgts,16,True,both,True,iam,256,6,9483872,80,74,0.042768254592853105,0.14743162108072047,0.06016042780748663,0.1970243116803436,0.08546272841297557,0.28963753613520127,0.10612348676224534,0.3355318659406396
run_152,vit_rgts,16,True,both,False,iam,256,6,9483872,150,146,0.0408007673200364,0.1433177674004892,0.05883173124241331,0.1912723368356469,0.040923735274587446,0.14431843451189683,0.059044978839276924,0.19150241582943478
run_172,vit_rgts,16,True,both,True,iam,256,6,9483872,150,120,0.041169671183689534,0.14409606404269512,0.05883993307306191,0.1924610783035509,0.206832099554856,0.5394707582832999,0.2188658508579115,0.5531482475649974
run_190,vit_rgts,16,True,both,False,iam,256,6,9495410,150,131,0.05246154587974348,0.2309439676930843,0.04781537082679812,0.20765282314512365,0.053667004194994934,0.23548712771327612,0.048084248263499885,0.2069528698086794
run_199,vit_rgts,16,True,both,False,synthetic,256,6,9478744,11,2,0.008060694076198778,0.027064502645098364,0.3096519143072734,0.6447963800904978,0.7985744848103025,1.0260756808262954,0.8145073980512451,1.033131375105453
run_201,vit_rgts,16,True,both,True,synthetic,256,6,9478744,11,2,0.008106374514883257,0.027437558149464913,0.316090351366425,0.6405782652043869,0.796440351815512,1.0256756574541435,0.8139168662445457,1.0321727126313367
run_119,torchvision_vit,0,False,rnn,True,iam,?,?,91864891,80,80,0.724502594623841,1.1102957527240382,0.7252140677799285,1.1207531252396656,0.724502594623841,1.1102957527240382,0.7252140677799285,1.1207531252396656
run_121,torchvision_vit,0,False,rnn,False,iam,?,?,91864891,80,68,0.10046481886820295,0.29564153880364685,0.1274154391260129,0.3548201549198558,0.10112884582277859,0.2996442072492773,0.1271201732226633,0.3532096019633407
run_153,torchvision_vit,0,False,rnn,False,iam,?,?,91864891,150,89,0.730626398760483,1.203691349788748,0.7313900462583248,1.2370580565994325,0.7566218243525737,1.0548143206582166,0.756758308454447,1.0746989799831275
run_173,torchvision_vit,0,False,rnn,True,iam,?,?,91864891,150,115,0.15919431396178155,0.3898154325105626,0.18337652964141596,0.4371500881969476,0.9037898723592632,1.0,0.9008808766116597,1.0
run_202,torchvision_vit,0,False,rnn,False,synthetic,?,?,91862839,2,2,0.0457660895070129,0.1460017888685631,0.4602703323381779,0.7802362144336222,0.0457660895070129,0.1460017888685631,0.4602703323381779,0.7802362144336222
run_203,torchvision_vit,0,False,rnn,True,synthetic,?,?,91862839,2,2,0.04531737436451848,0.14290048407322675,0.4668071913651127,0.7819618068870312,0.04531737436451848,0.14290048407322675,0.4668071913651127,0.7819618068870312
run_100,torchvision_vit,4,False,rnn,False,?,?,?,91867963,50,48,0.2597329136027151,0.5613742494996664,0.2874249532495653,0.5956361684178234,0.26061828287548267,0.5607071380920614,0.2861044585151406,0.5959045939105759
run_101,torchvision_vit,4,False,rnn,False,?,?,?,91867963,60,25,0.7407097710336686,1.019457416055148,0.7418473803352909,1.029565150701741,0.7781166228080962,1.0140093395597065,0.7784029395361045,1.0254237288135593
run_106,torchvision_vit,4,False,rnn,False,iam,?,?,91867963,60,59,0.19052654878138758,0.4631976873471203,0.21622486138906205,0.5070557558094946,0.1925678168269349,0.4676450967311541,0.2168153931957613,0.5097016642380551
run_113,torchvision_vit,4,False,rnn,True,iam,?,?,91867963,60,59,0.1296574112786208,0.37002446075161216,0.16055903677700864,0.43124472735639235,0.12973119205135142,0.3710251278630198,0.1604360093172796,0.4298642533936652
run_140,torchvision_vit,4,False,rnn,False,iam,?,?,91867963,60,60,0.23877917414721722,0.5560373582388258,0.27607361963190186,0.6122402024695145,0.23877917414721722,0.5560373582388258,0.27607361963190186,0.6122402024695145
run_174,torchvision_vit,4,False,rnn,False,iam,?,?,91867963,150,149,0.12176286859644377,0.32354903268845897,0.15093008759555132,0.38189278318889486,0.12343523277833797,0.32655103402268176,0.15123355532954955,0.3818160901909656
run_177,torchvision_vit,4,False,rnn,True,iam,?,?,91867963,150,147,0.13083790364231082,0.3453413386702246,0.15654834158984285,0.40091264667535853,0.1310346523695925,0.34500778296642204,0.15689281847708408,0.39937878671677274
run_182,torchvision_vit,4,False,rnn,False,iam,?,?,91867963,150,143,0.6575588401662527,0.926840115632644,0.6620435681244053,0.933008666308766,0.6583950222571998,0.9286190793862575,0.6628637511892654,0.9338906357849528
run_110,trocr,N/A,False,rnn,True,iam,?,?,3720275,80,24,0.7452841789429675,1.0649321770068936,0.7465470292969391,1.0794539458547434,0.7522195715796464,0.9968868134311764,0.7564794462123946,0.9957818851138891
run_112,trocr,N/A,False,rnn,True,iam,?,?,90373715,50,50,0.1268291483239468,0.342895263509006,0.14817427249762147,0.38507554260296034,0.1268291483239468,0.342895263509006,0.14817427249762147,0.38507554260296034
run_120,trocr,N/A,False,rnn,False,iam,?,?,90373715,50,50,0.12702589705122844,0.34789859906604403,0.15133197729733278,0.39431704885343966,0.12702589705122844,0.34789859906604403,0.15133197729733278,0.39431704885343966
run_125,trocr,N/A,False,rnn,False,iam,?,?,3720275,80,36,0.7378323208971742,1.1179675339114965,0.7406581148912438,1.12244037119411,0.7415705467155259,1.030798309984434,0.7454233784980808,1.0250019173249483
run_138,trocr,N/A,False,rnn,False,iam,?,?,90373715,50,49,0.36319815056196353,0.6884589726484323,0.3846412519274302,0.7130914947465297,0.36393595828926983,0.6889037135868357,0.3827056198943604,0.7116726742848378
run_154,trocr,N/A,False,rnn,True,iam,?,?,3720275,150,102,0.7271587024421435,1.0116744496330887,0.730750303467734,1.0081294577805047,0.7318560783059934,0.9939959973315544,0.7353925396148421,0.9951299946314901
run_155,trocr,N/A,False,rnn,False,iam,?,?,3720275,150,126,0.7163867096234722,0.994996664442962,0.7198336668744464,0.9939029066646216,0.7187722879417624,0.9901045141205248,0.7223106197303238,0.9905284147557328
run_178,trocr,N/A,False,rnn,False,iam,?,?,90373715,150,148,0.09975160473180689,0.2759617522792973,0.12379022997933138,0.32598358769844316,0.10014510218637024,0.27562819657549475,0.12313408352744333,0.325139964721221
run_180,trocr,N/A,False,rnn,True,iam,?,?,90373715,150,149,0.10002213423181919,0.27562819657549475,0.12098520389750993,0.32306925377713014,0.10012050859546003,0.2759617522792973,0.1207965617925921,0.3224557097936958
run_183,trocr,N/A,False,rnn,False,iam,?,?,90373715,150,146,0.11472910159612405,0.3167667333778074,0.1368885535251468,0.35984354628422427,0.1148766631415853,0.31876806760062265,0.13656048029920279,0.35685251936498197
run_204,trocr,N/A,False,rnn,False,synthetic,?,?,3718223,3,3,0.6209408647687713,0.9947142979140354,0.7582674452937895,1.0096249712401257,0.6209408647687713,0.9947142979140354,0.7582674452937895,1.0096249712401257
run_205,trocr,N/A,False,rnn,True,synthetic,?,?,3718223,3,3,0.613510180076096,0.9937030028720779,0.7551015386634297,1.0054068563540148,0.613510180076096,0.9937030028720779,0.7551015386634297,1.0054068563540148
run_142,htrvt,4,False,rnn,False,iam,256,4,8754233,80,76,0.05492068084285645,0.24154467440686522,0.048173874075733814,0.20578628091460568,0.05559573749939727,0.24230186774356385,0.04839793860631862,0.20648623425104992
